Iteration, Time, Fitness, Final Distance, Final Speed, Final Angular Speed, Final Yaw, Final Pitch, Final Roll
75, 3792.4, 0.4424595, 1.785726, 2.068027, 0.08541723, 0.01414645, 0.1913809, 0.198536
76, 3842.3, 0.4342762, 1.315016, 1.842349, 0.0650691, 0.006305501, 0.2053414, 0.1961829
77, 3892.2, 0.4177014, 1.315683, 2.863606, 0.1265357, 0.01150466, 0.1890747, 0.1230211
78, 3942.1, 0.4420845, 0.9718689, 1.947783, 0.06814078, -0.0001156087, 0.2081163, 0.1579582
79, 3992, 0.4319513, 1.397798, 1.627442, 0.05573201, 0.01005128, 0.2018281, 0.2053476
80, 4041.9, 0.4319456, 1.28771, 2.703612, 0.1101493, 0.002685646, 0.2035632, 0.1220585
81, 4091.8, 0.4238793, 1.577639, 2.115556, 0.07028589, 0.0109458, 0.2013312, 0.187101
82, 4141.7, 0.4385048, 1.177596, 1.442139, 0.01963644, 0.00303617, 0.2033432, 0.2055975
83, 4191.6, 0.4322123, 1.181437, 2.049364, 0.06907528, 0.00123783, 0.2072431, 0.1742111
84, 4241.5, 0.4450783, 1.638111, 2.375794, 0.0529697, 0.002226882, 0.204393, 0.1695422
85, 4291.4, 0.4359099, 1.431645, 2.823113, 0.2056927, 0.008307569, 0.1868913, 0.1605431
86, 4341.3, 0.428201, 1.555886, 2.777266, 0.09202358, 0.002629024, 0.2040065, 0.1434846
87, 4391.2, 0.4374309, 1.462556, 2.74679, 0.1087654, 0.00890576, 0.1977099, 0.1426523
88, 4441.1, 0.4249695, 1.420906, 2.460057, 0.06451837, 0.003310522, 0.2104237, 0.1740261
89, 4491, 0.4521933, 1.210808, 2.709502, 0.1165146, 0.007738804, 0.1963226, 0.1344794
90, 4540.9, 0.4396113, 1.339103, 2.535914, 0.103228, 0.008936006, 0.1956699, 0.1874449
91, 4590.8, 0.4423191, 1.42433, 2.72216, 0.1017124, 0.00214127, 0.2044974, 0.133934
92, 4640.7, 0.4612828, 0.8361058, 1.531767, 0.07306892, 0.0008235408, 0.1996503, 0.1868113
93, 4690.6, 0.4427084, 1.15606, 2.293234, 0.09160861, 0.007770357, 0.1975064, 0.1670137
94, 4740.5, 0.4396666, 1.070138, 2.229283, 0.04117256, 0.002440701, 0.2052465, 0.1855496
95, 4790.4, 0.4275852, 2.21364, 2.207084, 0.05932671, 0.006895795, 0.2013156, 0.1804072
96, 4840.3, 0.4357625, 1.286601, 1.758815, 0.02692805, 0.00145449, 0.2039796, 0.2000566
97, 4890.2, 0.4297804, 0.9031771, 1.115015, 0.03417425, 0.001075319, 0.20573, 0.2085793
98, 4940.1, 0.4314937, 1.124424, 1.718571, 0.03939611, 0.003246124, 0.2024968, 0.1901604
99, 4990, 0.4338313, 1.388825, 2.216773, 0.05397215, 0.003316226, 0.2042887, 0.1788922
100, 5039.9, 0.4157692, 1.583642, 2.276261, 0.08388815, 0.003087946, 0.2026984, 0.1690536
101, 5089.8, 0.4353949, 1.99785, 2.69252, 0.2742034, 0.007580325, 0.1856457, 0.1629422
102, 5139.7, 0.421423, 1.410549, 2.72377, 0.1053275, 0.003327511, 0.2098691, 0.144847
103, 5189.6, 0.4140548, 1.226766, 2.137222, 0.07369827, 0.003132224, 0.2115313, 0.1727559
104, 5239.5, 0.4212709, 1.068879, 2.180103, 0.06607594, 0.0002111456, 0.2061066, 0.161889
