Iteration, Time, Fitness, Final Distance, Final Speed, Final Angular Speed, Final Yaw, Final Pitch, Final Roll
126, 6337.3, 0.7445826, 0.0006311729, 0.001264006, 0.0001554171, 3.406388E-07, 7.746213E-06, -6.829084E-05
127, 6387.2, 0.7441097, 0.02526317, 0.003906452, 0.000708112, 0.0006099254, -7.857711E-06, -1.463819E-05
128, 6437.1, 0.6748195, 0.06044797, 0.008055079, 0.0001356904, 0.001477325, 2.290558E-06, -1.925609E-05
129, 6487, 0.6934724, 0.07227347, 0.01605871, 0.0002295419, -1.442927E-08, -5.329955E-05, 8.406127E-05
130, 6536.9, 0.7300473, 0.0005187296, 0.000910116, 0.000331437, 3.246605E-08, -6.672201E-05, -3.074734E-05
131, 6586.8, 0.7074764, 0.1079782, 0.2344217, 0.0009708324, 3.080797E-06, -4.013976E-06, -0.0007145844
132, 6636.7, 0.7123284, 0.001477547, 0.002242992, 0.0001531947, -5.285039E-08, -6.17421E-05, 1.302282E-05
133, 6686.6, 0.712803, 0.07519941, 0.01543799, 0.001802159, -0.006438266, -5.791713E-05, 6.812627E-05
134, 6736.5, 0.6822042, 0.002221348, 0.003776395, 0.000513131, -1.469926E-06, 0.0002317923, 3.692306E-05
135, 6786.4, 0.7330959, 0.07967012, 0.006159121, 0.0003720706, 0.002524938, -9.594649E-05, -0.0001110037
136, 6836.3, 0.7336065, 0.0003708655, 0.001915209, 0.0003846849, 8.694472E-08, -1.353133E-05, 6.105514E-05
137, 6886.2, 0.7301916, 0.001992721, 0.005142487, 0.0001364269, 8.210147E-08, -3.882947E-05, -2.220582E-05
138, 6936.1, 0.7164328, 0.04717914, 0.006111624, 0.0004462685, -0.001467223, 2.618085E-05, -0.0002398916
139, 6986, 0.7318711, 0.01759774, 0.01802179, 5.708421E-05, -7.092031E-08, -1.374198E-05, -1.178179E-05
140, 7035.9, 0.7503495, 0.06009562, 0.02347269, 8.647719E-05, -1.752841E-11, -3.064888E-05, 4.915162E-05
141, 7085.8, 0.7146327, 0.01250065, 0.01848132, 0.0001285444, 1.507354E-08, -6.246062E-06, 1.682887E-06
142, 7135.7, 0.7521144, 0.007543302, 0.01250385, 7.244866E-05, 2.105283E-08, 2.654285E-06, -1.025421E-05
143, 7185.6, 0.749622, 0.05445909, 0.01236227, 0.0011467, -0.005053813, -0.0001321298, 0.0001660219
144, 7235.5, 0.767828, 0.004075562, 0.0123853, 0.0001444123, -3.719193E-09, 2.674061E-05, -9.618869E-07
145, 7285.4, 0.6808898, 0.007351109, 0.006688428, 0.0009563135, 8.175439E-07, 1.334364E-05, -2.757253E-05
146, 7335.3, 0.7349828, 0.01748467, 0.005731484, 0.001008499, -0.001870909, 1.187342E-05, -2.392964E-05
147, 7385.2, 0.7253678, 0.01371727, 0.004108583, 0.001174047, -0.003435223, 3.588221E-05, 4.30931E-05
148, 7435.1, 0.7558858, 0.00647681, 0.005420941, 0.0003094392, -0.0001355174, -7.684597E-05, -7.168939E-05
149, 7485, 0.7470554, 0.04855077, 0.005891374, 0.0007396307, -0.00360494, 2.547649E-05, 2.483751E-05
150, 7534.9, 0.702836, 0.04394133, 0.006319156, 0.0006554419, -0.0008336502, -8.991553E-05, -2.643186E-05
151, 7584.8, 0.7677056, 0.02315844, 0.001476356, 0.0004231176, -0.003451905, 1.533236E-05, -1.079958E-05
152, 7634.7, 0.725094, 0.02312448, 0.002862522, 0.0008697691, -0.002984915, -0.0001127773, -2.347624E-05
153, 7684.6, 0.7254584, 0.03596636, 0.1651909, 0.0005473835, 0.0002233321, -0.0001646086, -7.554263E-08
154, 7734.5, 0.7332307, 0.02703736, 0.01404537, 0.0007012371, -0.0006907456, -4.421315E-05, 0.00011616
155, 7784.4, 0.8003145, 0.0005593912, 0.0006007633, 0.0001795288, 1.531197E-09, -4.554257E-06, -8.883428E-06
156, 7834.3, 0.7037086, 0.0008271332, 0.002077856, 0.0006162833, -1.781199E-06, -2.947282E-06, 2.728514E-05
157, 7884.2, 0.7100918, 0.0347731, 0.01087226, 0.001570513, 0.0004997069, -0.0001722922, 2.613792E-05
158, 7934.1, 0.6996235, 0.02530574, 0.2730412, 0.0003755472, 2.14682E-06, 5.580372E-05, 5.537457E-06
159, 7984, 0.7440131, 0.07555939, 0.2578035, 0.0005605121, -0.004367445, 1.517235E-05, 1.795645E-05
160, 8033.9, 0.7332276, 0.05063721, 0.007449087, 0.0009424984, 0.005550762, 2.027706E-05, -9.507445E-05
161, 8083.8, 0.7218996, 0.04788303, 0.01541003, 0.0008953563, -0.006426217, 2.669848E-05, 4.881067E-05
162, 8133.7, 0.6771004, 0.07881445, 0.006138286, 0.0003697672, 6.451313E-07, 3.995989E-05, 2.436162E-05
163, 8183.6, 0.6971103, 0.07286832, 0.01011973, 0.001556321, 0.003314327, -3.425304E-05, -7.63319E-05
164, 8233.5, 0.7239153, 0.07992744, 0.1551794, 0.0006454999, -0.002288678, -1.052126E-05, -5.766666E-05
165, 8283.399, 0.7244635, 0.007745614, 0.01005896, 0.0003053457, -1.827064E-08, 3.484295E-05, 3.08211E-05
166, 8333.3, 0.7531343, 0.01405642, 0.005631549, 0.0001353154, 8.773916E-09, -2.990684E-06, 4.843578E-05
167, 8383.2, 0.7085444, 0.06151945, 0.2280926, 0.0005892038, 0.005127761, -9.417125E-06, -0.0001623855
168, 8433.1, 0.680818, 0.06786796, 0.2783371, 0.0008051713, -0.0009581805, -0.0001687981, -1.114042E-05
169, 8483, 0.7468417, 0.03608972, 0.297627, 0.0004055981, 0.0005676398, 4.499712E-05, 0.0001390954
170, 8532.899, 0.7528802, 0.02089275, 0.00542105, 0.0003480343, -0.003360505, 0.0001430656, 8.377974E-06
171, 8582.8, 0.7186389, 0.02276242, 0.0128311, 0.001073452, 0.001460776, 0.0003096005, -1.946178E-05
172, 8632.7, 0.7149593, 0.004303639, 0.007041338, 0.0004725946, -7.702033E-08, 7.350319E-05, 7.613165E-05
173, 8682.6, 0.7470663, 0.003536916, 0.006534409, 0.0003773604, -4.667846E-08, 2.241685E-05, -1.645514E-05
174, 8732.5, 0.7425241, 0.007118964, 0.009044028, 0.0004671714, -4.782409E-09, 1.560222E-05, -4.50605E-05
175, 8782.399, 0.7294255, 0.002574547, 0.008976024, 0.0007105442, 1.072375E-07, 0.0003232217, 3.576807E-05
176, 8832.3, 0.7288805, 0.02483661, 0.02562002, 0.0008622215, 0.000771609, -0.0009743883, -7.348674E-05
177, 8882.2, 0.6994547, 0.02876104, 0.00479151, 0.000250628, 4.795583E-07, 0.0001479797, 0.0001267445
