Time, Input Voltage, Current, Angular Velocity, Lift Force
0.233599990606308, 45, 41.5482407411436, 534.164881203663, 893.671316367478
0.233799993991852, 45, 41.4936517830493, 534.204962234281, 893.805434548972
0.233999997377396, 45, 41.439435956587, 534.244769292459, 893.938645930697
0.234200000762939, 45, 41.3855907136616, 534.284304249232, 894.070956569682
0.234399989247322, 45, 41.3321135235463, 534.323568962879, 894.202372483515
0.234599992632866, 45, 41.2790018727651, 534.362565279013, 894.332899650587
0.23479999601841, 45, 41.2262532649752, 534.401295030664, 894.462544010335
0.234999999403954, 45, 41.1738652208509, 534.439760038365, 894.59131146348
0.235199987888336, 45, 41.121835277968, 534.477962110237, 894.719207872265
0.23539999127388, 45, 41.070160990689, 534.515903042076, 894.846239060695
0.235599994659424, 45, 41.0188399300488, 534.553584617432, 894.972410814773
0.235799998044968, 45, 40.967869683642, 534.591008607694, 895.097728882731
0.236000001430511, 45, 40.9172478555098, 534.628176772177, 895.222198975271
0.236199989914894, 45, 40.8669720660288, 534.665090858196, 895.345826765789
0.236399993300438, 45, 40.8170399517995, 534.701752601154, 895.468617890611
0.236599996685982, 45, 40.7674491655366, 534.73816372462, 895.590577949224
0.236800000071526, 45, 40.718197375959, 534.774325940411, 895.711712504502
0.236999988555908, 45, 40.6692822676816, 534.81024094867, 895.832027082933
0.237199991941452, 45, 40.6207015411067, 534.845910437946, 895.951527174847
0.237399995326996, 45, 40.5724529123171, 534.881336085276, 896.070218234641
0.23759999871254, 45, 40.5245341129695, 534.916519556256, 896.188105681
0.237799987196922, 45, 40.4769428901886, 534.951462505128, 896.305194897124
0.237999990582466, 45, 40.4296770064618, 534.986166574848, 896.421491230945
0.23819999396801, 45, 40.382734239535, 535.02063339717, 896.536999995348
0.238399997353554, 45, 40.336112382309, 535.054864592718, 896.651726468392
0.238600000739098, 45, 40.2898092427361, 535.088861771064, 896.765675893525
0.23879998922348, 45, 40.2438226437183, 535.1226265308, 896.878853479801
0.238999992609024, 45, 40.198150423005, 535.156160459616, 896.991264402098
0.239199995994568, 45, 40.1527904330926, 535.189465134374, 897.102913801326
0.239399999380112, 45, 40.1077405411241, 535.222542121178, 897.213806784646
0.239599987864494, 45, 40.0629986287895, 535.255392975452, 897.323948425677
0.239799991250038, 45, 40.0185625922269, 535.288019242009, 897.433343764711
0.239999994635582, 45, 39.9744303419242, 535.320422455123, 897.541997808915
0.240199998021126, 45, 39.9305998026215, 535.352604138606, 897.649915532549
0.240399986505508, 45, 39.8870689132144, 535.384565805871, 897.757101877164
0.240599989891052, 45, 39.8438356266575, 535.416308960009, 897.863561751812
0.240799993276596, 45, 39.8008979098688, 535.447835093859, 897.969300033249
0.24099999666214, 45, 39.758253743635, 535.479145690071, 898.07432156614
0.241200000047684, 45, 39.7159011225169, 535.510242221186, 898.17863116326
0.241399988532066, 45, 39.6738380547558, 535.541126149694, 898.282233605697
0.24159999191761, 45, 39.6320625621804, 535.571798928111, 898.385133643048
0.241799995303154, 45, 39.5905726801146, 535.60226199904, 898.487335993622
0.241999998688698, 45, 39.5493664572853, 535.632516795245, 898.588845344633
0.24219998717308, 45, 39.5084419557316, 535.662564739713, 898.689666352403
0.242399990558624, 45, 39.4677972507142, 535.692407245721, 898.789803642553
0.242599993944168, 45, 39.4274304306251, 535.722045716905, 898.889261810195
0.242799997329712, 45, 39.3873395968986, 535.751481547323, 898.988045420134
0.243000000715256, 45, 39.3475228639227, 535.780716121521, 899.086159007048
0.243199989199638, 45, 39.3079783589504, 535.809750814598, 899.183607075691
0.243399992585182, 45, 39.2687042220126, 535.83858699227, 899.280394101073
0.243599995970726, 45, 39.2296986058312, 535.867226010932, 899.376524528656
0.24379999935627, 45, 39.1909596757325, 535.895669217727, 899.472002774536
0.243999987840652, 45, 39.1524856095615, 535.923917950601, 899.566833225635
0.244199991226196, 45, 39.1142745975968, 535.951973538374, 899.661020239881
0.24439999461174, 45, 39.0763248424659, 535.979837300794, 899.754568146399
0.244599997997284, 45, 39.0386345590612, 536.007510548606, 899.847481245685
0.244799986481667, 45, 39.0012019744563, 536.034994583608, 899.9397638098
0.24499998986721, 45, 38.9640253278236, 536.062290698715, 900.03142008254
0.245199993252754, 45, 38.9271028703514, 536.089400178017, 900.122454279625
0.245399996638298, 45, 38.8904328651625, 536.116324296841, 900.212870588872
0.245600000023842, 45, 38.8540135872328, 536.143064321812, 900.302673170376
0.245799988508224, 45, 38.8178433233106, 536.169621510907, 900.391866156686
0.245999991893768, 45, 38.7819203718365, 536.195997113519, 900.480453652984
0.246199995279312, 45, 38.7462430428638, 536.222192370515, 900.568439737254
0.246399998664856, 45, 38.7108096579794, 536.248208514291, 900.655828460461
0.246599987149239, 45, 38.6756185502253, 536.27404676883, 900.742623846723
0.246799990534782, 45, 38.6406680640208, 536.299708349764, 900.82882989348
0.246999993920326, 45, 38.6059565550846, 536.325194464425, 900.914450571668
0.24719999730587, 45, 38.5714823903584, 536.350506311906, 900.999489825889
0.247400000691414, 45, 38.53724394793, 536.375645083113, 901.083951574576
0.247599989175797, 45, 38.5032396169578, 536.400611960825, 901.167839710165
0.24779999256134, 45, 38.469467797595, 536.425408119745, 901.251158099262
0.247999995946884, 45, 38.4359269009151, 536.45003472656, 901.333910582804
0.248199999332428, 45, 38.4026153488376, 536.474492939991, 901.416100976229
0.248399987816811, 45, 38.3695315740534, 536.498783910849, 901.497733069637
0.248599991202354, 45, 38.3366740199525, 536.52290878209, 901.578810627955
0.248799994587898, 45, 38.3040411405504, 536.546868688868, 901.659337391096
0.248999997973442, 45, 38.2716314004158, 536.570664758585, 901.739317074124
0.249199986457825, 45, 38.2394432745991, 536.594298110949, 901.81875336741
0.249399989843369, 45, 38.2074752485606, 536.617769858023, 901.897649936793
0.249599993228912, 45, 38.1757258180999, 536.641081104278, 901.976010423739
0.249799996614456, 45, 38.1441934892853, 536.664232946645, 902.053838445496
0.25, 45, 38.1128767783837, 536.687226474565, 902.131137595251
0.250200003385544, 45, 38.0817742117917, 536.710062770043, 902.207911442286
0.250400006771088, 45, 38.0508843259659, 536.732742907694, 902.284163532133
0.250599980354309, 45, 38.0202056673547, 536.755267954797, 902.359897386724
0.250799983739853, 45, 37.9897367923303, 536.777638971347, 902.435116504547
0.250999987125397, 45, 37.959476267121, 536.799857010097, 902.509824360796
0.251199990510941, 45, 37.9294226677441, 536.821923116615, 902.584024407521
0.251399993896484, 45, 37.899574579939, 536.84383832933, 902.657720073781
0.251599997282028, 45, 37.8699305991012, 536.865603679578, 902.730914765787
0.251800000667572, 45, 37.8404893302164, 536.887220191657, 902.803611867056
0.252000004053116, 45, 37.8112493877952, 536.908688882867, 902.875814738554
0.25220000743866, 45, 37.7822093958082, 536.930010763565, 902.947526718845
0.252399981021881, 45, 37.7533679876214, 536.951186837206, 903.018751124232
0.252599984407425, 45, 37.7247238059325, 536.972218100394, 903.089491248907
0.252799987792969, 45, 37.6962755027068, 536.99310554293, 903.159750365088
0.252999991178513, 45, 37.6680217391146, 537.013850147851, 903.229531723168
0.253199994564056, 45, 37.6399611854681, 537.034452891487, 903.298838551854
0.2533999979496, 45, 37.6120925211592, 537.054914743496, 903.367674058304
0.253600001335144, 45, 37.5844144345976, 537.075236666917, 903.436041428276
0.253800004720688, 45, 37.5569256231496, 537.095419618211, 903.503943826256
0.254000008106232, 45, 37.5296247930764, 537.115464547308, 903.571384395607
0.254199981689453, 45, 37.5025106594742, 537.135372397652, 903.638366258698
0.254399985074997, 45, 37.4755819462137, 537.155144106241, 903.704892517046
