Iteration, Time, Fitness, Final Distance, Final Speed, Final Angular Speed, Final Yaw, Final Pitch, Final Roll
77, 3883.22, 0.2011757, 0.6383061, 0.8027124, 0.1522336, -0.0176339, -0.01416128, -0.02520653
78, 3933.12, 0.2248994, 0.25504, 0.5895352, 0.08869366, -0.0001563844, 0.004352574, -0.01334406
79, 3979.66, 0.2127777, 0.2773296, 0.6800267, 0.3782896, 0.06060968, -0.0113147, -0.0124157
80, 4029.56, 0.2304758, 0.4409899, 0.6411604, 0.2189679, 0.0007766588, -0.03172263, -0.03127719
81, 4079.46, 0.214718, 0.6690518, 0.5638576, 0.2625104, 0.007637149, 0.01320036, 0.03285787
82, 4129.36, 0.2111515, 0.5791959, 0.6370798, 0.3295793, -0.02237046, 0.03878819, -0.003491977
83, 4179.26, 0.2209363, 0.7471344, 0.5545577, 0.1865649, 0.04482988, -0.02985043, -0.11814
84, 4229.16, 0.2139629, 0.7106214, 0.5310192, 0.2717394, 0.03869501, 0.04018231, -0.06030621
85, 4279.06, 0.2225274, 0.575153, 0.5858645, 0.2677066, 0.04708369, 0.002047445, 0.03978674
86, 4328.96, 0.1994635, 0.419824, 0.7119806, 0.355849, 0.006195135, -0.02769314, 0.006687891
87, 4378.86, 0.2183271, 0.5499755, 0.6549087, 0.2153861, -0.05367428, 0.009612359, -0.0130411
88, 4428.72, 0.2493759, 0.3131192, 0.5610927, 0.1515279, 0.00826484, 0.0004993675, 0.008571088
89, 4478.62, 0.2223302, 0.2866102, 0.6598028, 0.2182544, 0.03379823, 0.01099309, 0.02928778
90, 4528.52, 0.2308347, 0.3433487, 0.610855, 0.1957722, 0.008116232, 0.01533111, 0.03193672
91, 4578.42, 0.2403709, 0.313143, 0.571732, 0.1850521, 0.07643091, 0.0006121062, 0.006173606
92, 4628.32, 0.2449639, 0.6244127, 0.5215056, 0.2378498, 0.02486536, -0.04924354, 0.04381755
93, 4678.22, 0.2433563, 0.3535342, 0.5803062, 0.1488447, 0.0007909043, 0.01206603, 0.004689668
94, 4728.12, 0.2424935, 0.3341611, 0.5581191, 0.2204937, 0.007097633, -0.004296538, 0.02017408
95, 4778.02, 0.2262674, 0.7679482, 0.5526609, 0.1959198, -0.001290149, -0.02612054, 0.004364712
96, 4827.92, 0.2474592, 0.1508555, 0.5929856, 0.2054651, 0.04823045, 0.001971087, 0.007274165
97, 4877.82, 0.2621583, 0.3727537, 0.5569043, 0.1689996, -0.005346002, 0.02736037, 0.009982876
98, 4927.72, 0.2664662, 0.3785632, 0.5243754, 0.09170227, -0.009112349, 0.01572853, -0.01428976
99, 4975.58, 0.2659631, 0.361653, 0.5265057, 0.09894235, 0.003437018, -0.001136411, -0.02366884
100, 5025.48, 0.2669858, 0.3929756, 0.5014148, 0.1135799, -0.01449612, -0.02919555, -0.007582097
101, 5075.38, 0.2630539, 0.4193478, 0.5100673, 0.1209443, 0.005517131, -0.02168866, -0.01813588
102, 5125.28, 0.265704, 0.2532948, 0.5543518, 0.1320401, 0.0205517, -0.009401975, 0.004120464
103, 5175.18, 0.2506863, 0.5654042, 0.5375269, 0.1153938, 0.0207233, -0.01038451, 0.002835634
104, 5225.08, 0.2511769, 0.4695093, 0.5576717, 0.1345043, -0.00326145, -0.01457829, -0.03554019
105, 5274.98, 0.2686678, 0.3999435, 0.5166834, 0.1646867, 0.03025042, 0.01962186, 0.0540031
106, 5324.88, 0.2554866, 0.2786182, 0.5084314, 0.196054, -0.01363503, 4.545506E-05, 0.02863135
107, 5374.78, 0.2664886, 0.2650554, 0.5358252, 0.1309039, 0.04212505, 0.00847951, 0.0142859
108, 5424.24, 0.2577238, 0.4009784, 0.5135152, 0.150171, -0.02228925, -0.004235083, 0.03014337
109, 5474.14, 0.2636304, 0.4001707, 0.4991729, 0.132293, -0.0118837, -0.006664712, 0.01330179
